unifrac	AS1	N1	N6	SD4	N2	SD1	SD5	SD3	N5	SD2	OC1	OP1	N3	OC2	OP2	AS2	N7	OP6	AS3	G2	OC6	OP7	G4	SD8	OP12	G5	OP13	SD9	OC12	OC11	N10	OC5	OC9	OP10	OC10	OP11	G3	OC4	OC7	OC8	OP8	OC3	OP3	OP4	OP9	N11	OP5	N13	SD6	N12	N8	N9	SD7	N4	G1
AS1	0	0.0155	0.0247	0.0194	0.0241	0.0244	0.0354	0.0279	0.0433	0.0336	0.0629	0.0635	0.424	0.544	0.667	0.941	0.894	0.955	0.980	0.818	0.915	0.929	0.956	0.979	0.984	0.982	0.984	0.987	0.991	0.985	0.971	0.965	0.980	0.982	0.832	0.619	0.987	0.991	0.954	0.975	0.961	0.987	0.990	0.990	0.978	0.977	0.563	0.957	0.980	0.986	0.961	0.959	0.586	0.992	0.980
N1	0.0155	0	0.0238	0.0208	0.0198	0.0225	0.0338	0.0356	0.044	0.0384	0.063	0.0626	0.420	0.539	0.662	0.944	0.890	0.957	0.982	0.821	0.918	0.933	0.959	0.983	0.987	0.985	0.986	0.990	0.993	0.988	0.970	0.968	0.984	0.986	0.835	0.622	0.990	0.993	0.958	0.978	0.964	0.990	0.992	0.992	0.982	0.974	0.565	0.954	0.983	0.983	0.957	0.954	0.586	0.986	0.980
N6	0.0247	0.0238	0	0.0155	0.0209	0.0262	0.0245	0.0379	0.0453	0.0421	0.0635	0.0641	0.423	0.543	0.667	0.942	0.893	0.956	0.980	0.819	0.916	0.931	0.957	0.981	0.987	0.984	0.986	0.989	0.993	0.987	0.970	0.966	0.982	0.983	0.834	0.622	0.988	0.992	0.957	0.977	0.963	0.990	0.992	0.992	0.980	0.976	0.565	0.957	0.981	0.988	0.960	0.958	0.572	0.991	0.980
SD4	0.0194	0.0208	0.0155	0	0.0248	0.0262	0.0239	0.0316	0.0445	0.0372	0.0685	0.0691	0.426	0.549	0.672	0.947	0.899	0.961	0.986	0.824	0.921	0.936	0.962	0.985	0.990	0.988	0.990	0.993	0.996	0.990	0.977	0.971	0.987	0.989	0.838	0.625	0.993	0.997	0.960	0.981	0.967	0.993	0.996	0.996	0.985	0.983	0.569	0.963	0.986	0.992	0.967	0.964	0.580	0.993	0.983
N2	0.0241	0.0198	0.0209	0.0248	0	0.0155	0.0331	0.0423	0.0493	0.0457	0.066	0.0666	0.424	0.546	0.670	0.946	0.897	0.959	0.984	0.823	0.919	0.934	0.960	0.984	0.989	0.986	0.989	0.992	0.995	0.989	0.974	0.969	0.985	0.987	0.836	0.624	0.992	0.995	0.959	0.980	0.965	0.992	0.994	0.995	0.983	0.980	0.568	0.961	0.984	0.990	0.964	0.962	0.584	0.991	0.982
SD1	0.0244	0.0225	0.0262	0.0262	0.0155	0	0.0282	0.0427	0.0481	0.0467	0.0693	0.0694	0.418	0.544	0.669	0.948	0.896	0.962	0.987	0.817	0.914	0.929	0.954	0.981	0.985	0.985	0.990	0.986	0.996	0.982	0.970	0.972	0.987	0.989	0.831	0.626	0.994	0.989	0.953	0.980	0.964	0.986	0.992	0.992	0.984	0.981	0.564	0.956	0.979	0.984	0.960	0.964	0.587	0.986	0.976
SD5	0.0354	0.0338	0.0245	0.0239	0.0331	0.0282	0	0.0491	0.0581	0.0562	0.0683	0.0692	0.423	0.546	0.670	0.949	0.897	0.962	0.987	0.822	0.919	0.934	0.959	0.983	0.987	0.986	0.990	0.991	0.996	0.987	0.975	0.972	0.988	0.990	0.836	0.626	0.994	0.994	0.958	0.980	0.965	0.991	0.993	0.994	0.984	0.981	0.567	0.960	0.984	0.989	0.964	0.964	0.571	0.990	0.981
SD3	0.0279	0.0356	0.0379	0.0316	0.0423	0.0427	0.0491	0	0.0301	0.0458	0.0633	0.0708	0.418	0.530	0.653	0.935	0.884	0.949	0.974	0.808	0.905	0.920	0.946	0.969	0.974	0.972	0.977	0.977	0.983	0.974	0.961	0.959	0.974	0.977	0.823	0.613	0.981	0.977	0.944	0.967	0.951	0.974	0.978	0.976	0.970	0.968	0.549	0.947	0.969	0.976	0.947	0.947	0.573	0.986	0.973
N5	0.0433	0.044	0.0453	0.0445	0.0493	0.0481	0.0581	0.0301	0	0.0503	0.0504	0.0559	0.408	0.511	0.635	0.921	0.868	0.934	0.959	0.788	0.885	0.902	0.928	0.957	0.962	0.960	0.967	0.960	0.973	0.958	0.940	0.945	0.960	0.962	0.802	0.600	0.968	0.955	0.930	0.954	0.939	0.953	0.965	0.959	0.956	0.953	0.533	0.930	0.951	0.967	0.927	0.931	0.559	0.977	0.963
SD2	0.0336	0.0384	0.0421	0.0372	0.0457	0.0467	0.0562	0.0458	0.0503	0	0.0652	0.0637	0.423	0.519	0.640	0.936	0.884	0.945	0.953	0.795	0.892	0.907	0.931	0.955	0.963	0.954	0.958	0.960	0.964	0.975	0.945	0.958	0.956	0.957	0.824	0.611	0.986	0.964	0.956	0.958	0.938	0.961	0.962	0.963	0.953	0.950	0.539	0.947	0.955	0.982	0.957	0.952	0.596	0.992	0.980
